,Job Description,Job Title
2057,informatica empowers world progressive companies realize data driven digital transformations changing live data values good act one team think customer first aspire future together conquering impossible data changing unimaginable whats commonmaking lives richer businesses stronger world better unleash potential career informatica gives opportunities benefits come working trusted industry leader joining team able solve real life problems make difference global impact join supportive group globally diverse teammates encourage grow unleash potential description informatica currently looking senior devops engineer experience elastic stack kubernetes join team bangalore india job summary senior devops engineer cloud trust team support centralized elastic stack observability security senior devops engineer responsible supporting centralized elastic stack informatica engineers role senior devops engineer must able work adapt fluid fast paced environment working senior devops engineer must strong technical communication collaboration leadership skills technology youll use jobs elastic stack eck kubernetes gitops java lang python aws azure gcp docker kafka kinesis sqs grafana prometheus jaeger zipkin ansible chef youll build operate large scale elk clusters deployed multiple cloud providers driving initiatives evolve current platform increase efficiency keep line current standards best practices manage onboard users elastic apm open telemetry open tracing rollout gitops manage many elasticsearch clusters ensure zero downtime highly available upgrades maintenance activities perform incident alert troubleshooting problem analysis provide high quality solutions technical issues call support cases issues production environment work geographically dispersed team key essentials experience logging telemetry services specifically elk jaeger zipkin grafana prometheus experience either cloud providers aws azure gcp able code good standard programming language python ruby experience writing infrastructure code using tools terraform cloudformation solid understanding configuration management principles tools chef comfortable supporting operating high availability cloud services provide call support sev incidents production critical development cloud environments understanding principles linux fundamentals networking concepts protocols self motivated strong problem solving troubleshooting skills experience building operating kubernetes clusters success look like enable product teams self service capabilities ensure zero downtime adhering defined slas higher uptime system nice years systems administrations enterprise software development operations years experience managing cloud operation environments scale production years experience full implementation building managing elasticsearch logstash clusters years experience working real time data streaming tools kafka kinesis etc experience working container runtime docker containerd cri experience building dashboards kibana grafana experience instrumenting distributed tracing jaeger zipkin elastic apm experience production level monitoring alerting tools like prometheus grafana experience cloud automated deployment tools chef ansible spinnaker puppet plus prior experience performing participating compliance security audits plus prior experience defining configuring implementing disaster recovery process ability perform data related benchmarking performance analysis tuning,DevOps Engineer
960,experience years skill set node mongodb mysql redis one databases experience creating rest web services frameworks one frameworks nodejs frameworks nest hapi express koa good good experience message queue kafka rabbitmq workflow engines camunda process maker good experience tdd approach good experience socket programming good experience cloud deployments looking back end web developer excellent programming skills join team need person part team create highly scalable web apps ideal candidate experience building real products web able present examples work key responsibilities maintain contribute adhere programming best practices guidelines advanced understanding emerging web technologies design codes superior technical solutions good understanding sql nosql databases good debugging skills good analytical skills good communication skills good knowledge oops concepts good team player know agile methodologies must aware devops concepts hands git equivalent code repository system knowledge design patterns selection process send resume jobs iauro com shortlisted profiles hear soon,Node js developer
125,role backend developer works mumbai gurugram office part technology team help greenlight planet easybuy business unit design develop software improve field force operations key responsibilities role design build applications systems based wireframes product requirements documents design develop logical physical data models meet application identify correct bottlenecks bugs according operational requirements unit test code robustness including edge cases usability general reliability write reusable easy maintain versioned code using dry principles automate business processes using tools like zapier google scripts automation tools integrate existing tools business systems house tools business tools like ticketing softwares communication tools external services coordinate product manager development team business analysts ideal candidate development experience years strong problem solving data structures deep knowledge oops concept programming skills core java knowledge sql mysql similar database management experience web service integration soap rest json xml familiarity restful apis connect android applications back end services experience cloud message apis push notifications firebase preferably understanding code versioning tools git svn experience agile scrum development process tools knowledge spring framework hands experience aws storage redshift instances creation deployment good scripting language like shell script make system automatic experience angular plus knowledge messaging systems rabbitmq container based application deployment docker equivalent willing learn new technologies implement products seek foster team diversity terms culture life experiences especially encourage women sexual gender minorities people disabilities members underrepresented groups apply discriminate basis race color religion sex marital status sexual orientation national origin hiv aids status disability,Backend Developer
157,wanted android ios web developer fresher year experience person knowledge experience backend api development preferred skill set kotlin swift flutter php net javascript html job type full time salary per month schedule day shift education bachelor preferred work remotely speak employer,Flutter Developer
1987,relocation needed telework home required good internet tekgile tech company works international partners deliver modern apps software various types businesses work global companies various clients always push limits web server applications would want javascript developer tekgile tekgile international partner company aims continue growth trajectory japan variety geospatial web app projects work software app improvements vital success company looking grow team add new features offered working product manager based japan well technical manager trivandrum team focuses product life cycle bugs features relate existing clients future needs project javascript developer role focused building various web app dashboards focused around geospatial data continuing grow functionality capabilities frameworks responsibilities include helping grow features existing projects new projects would partnered team members assist various devops tasks looking someone looking take ownership tasks held accountable quality completion interested modern applications code ninja attention detail great enjoy would support development server web applications based javascript extjs nodejs focused supporting continued development improvements existing new javascript applications frontend backend implementing features independently team members writing unit tests internal external documentation debugging problem solving bugs working sql based databases working aws cloud environment key skills experience need proficiency english strong understanding experience javascript mvc mvvm strong understanding nodejs express experience web app javascript bootstrap jquery experience functional object oriented programming good understanding sql experience writing unit tests would great also bring experience postgresql postgis experience extjs experience html css good understanding nosql mongodb elasticsearch experience amazon aws lambda api gateway sns sqs understanding experience oauth perks monday friday schedule day weeks hour work weeks performance bonus paid quarterly competitive salary personal laptop stipend ability work home anywhere india company values quality service make sure customers use product best experience ability adapt startup lifestyle new technology space look team members always willing adapt constant change pushing limits feel always room improve best space everyone input valued encouraged make everything better help team help common phrase work completing goals tasks important pitch help make sure team hits goals well job type full time benefits paid sick time paid time work home schedule day shift monday friday experience total work years required javascript years preferred education bachelor required benefits paid leaves leave encashment work home flexible work hours industry software development work remotely yes,JavaScript Developer
1085,folks urgent requirement devops engineer year contract take ownership tools like jenkins github actions gitlab pipelines preferable deep familiarity computer networks operating system concepts fundamental basic knowledge programming languages hands experience terraform preferable ansible puppet chef hands experience python experience gcp preferable aws azure comfortable linux live terminal knows network security protocols job types part time contract experience total work years preferred,DevOps Engineer
498,company description ivan family professionals formed passionate dedicated thoughts dreams determination ultimate technology destination delivering consulting solution globally list recurring loyal clientele portrays capabilities best possible way job description greetings ivan infotech pvt ltd hiring flutter developer mobile application development team contact priyanka responsibilities develop cross application troubleshooting code debugging flutter animation application publish apple play store api integration qualifications flutter flutter animation firebase local storage additional information five days working week saturday sunday fixed ample scope growth opportunities additional information five days working week saturday sunday fixed ample scope growth opportunities contact priyanka,Flutter Developer
892,overview based silicon valley tintri wholly owned subsidiary datadirect networks ddn data scale powerhouse world largest privately held storage company tintri solutions serve needs enterprise data centres intelligent infrastructure product portfolio includes advanced technologies tintri acquired september nexenta acquired may intelliflash acquired western digital november portfolio offers fresh choice new experience elevate user experiences automation analytic insight tight integration application workflows enterprise applications including mission critical databases business applications virtualization flexible software defined solutions learn tintri portfolio solutions https www tintri com products tintri looking motivated passionate individuals self motivated work careers valuing thriving environment collaboration teamwork best together quest provide game changing storage solutions job description job summary looking software engineer red tintri storage engineering team participate design build deliver data protection solutions ddn red software storage product implement critical distributed storage components including file system network protocols storage optimization features high availability services implement heath checking tools definition implementation providing solutions data consistency data replication media continuous sniff testing responsibilities role include limited drive design discussions build prototypes contribute deliver high quality products design implement complex critical distributed storage components including file system network protocols storage optimization features high availability services conduct code reviews improve scalability stability reliability performance red product support solutions collaborate teammates integrate group passionate developers outcome oriented environment adopt agile practices support appropriate technical meetings scrums message progress status concerns providing regular reports project progress team members supervisors qualifications computer science computer engineering statistics mathematics equivalent degree experience years experience years software development experience file systems server architectures distributed systems experience developing debugging system level particularly linux unix computing environments experience system deployment premise cloud enterprise solutions understands high performance ethernet tcp socket programming libfabrics virtualisation datastores data storage file systems attention detail commitment high quality deliverables strong team player good communication skills self starter excellent time management skills ability independently prioritize multitask work deadlines fast paced environment,Software Engineer
1360,importantly engineering want work engineers want continue grow software professionals craftspeople excited deliver excellence responsibilities working deliver new intel sgx based product using coding expertise java work member team within enclave development group deliver high quality well tested code realisation delivery technical designs meet release deadlines code review peer contributions codebase qualifications strong understanding computer science engineering principles likely obtained combination advanced academic study significant professional experience years experience enterprise level environment experience delivering end end platforms services familiarity multiple layers infrastructure application stack systems development networking middleware application logic proven problem solving skills ability work pressure,Software Engineer
1078,immediate appointed network engineers wanted network admin system admin desktop support engineer good salary facilities esi need years details contact team freshers also apply immediate appointed network engineers wanted network admin system admin desktop support engineer good salary facilities esi need years details contact team freshers also apply,Network Administrator
1174,required skill proven experience software ios development deep familiarity swift cocoa touch experience third party libraries apis working knowledge general mobile landscape architectures trends emerging technologies solid understanding full mobile development life cycle understanding webservices json database core data sqlite understanding auto layouts familiarity cloud message apis push notifications understanding bluetooth module responsibilities duties design build advanced applications ios platform collaborate cross functional teams define design ship new features unit test code robustness including edge cases usability general reliability work bug fixing improving application performance job types full time fresher schedule monday friday education bachelor required programming languages needed objective required swift required work remotely,iOS Developer
500,positions experience required years role description proficient understanding code versioning tools git svn mercurial strong understanding php back end development creation clean logical well documented reusable code knowledge wordpress standard coding developing modifying custom themes plugins theme template integration php programming frameworks like laravel strong mysql mvc architecture developing maintaining optimizing secure reusable scalable websites web apps api integration tools json xml api restful apis integrations key skills competencies knowledge payment gateway integration must experience wordpress management developing server side expertise excellent knowledge good coding standards good understanding front end technologies including html css javascript jquery experience building user interfaces websites web applications experience designing developing responsive design websites comfortable working debugging tools like firebug chrome inspector etc able develop modules independently perform unit testing ability understand css changes ramifications ensure consistent style across platforms browsers educational qualification tech bca mca please send resume career evincedev com,Wordpress Developer
1676,job description looking senior software engineer proficient java spring boot primary focus developing restful services microservice platform work closely senior architects leadership team responsibilities senior software engineer responsible design build test deploy cutting edge solutions scale need exhibit strong leadership communication skills collaborate product engineering management create recommend solution design options factoring requirements standards current infrastructure environment communicate present solutions stakeholders guide mentor others members team promote highly technical self sufficient teams skills java spring boot cloud web services restful soap hibernate sql strong computer science fundamentals algorithms data structures databases caching etc solid object oriented software development skills hands developing applications using rest messaging soa strong coding debugging abilities advanced knowledge java programming language happy learn years software development experience passionate unit testing producing high quality code using tdd familiarity agile software development methodologies experience cloud computing platforms aws similar plus working knowledge docker kubernetes modern pipelines plus self motivated learner builder strong customer focus obsession quality comfortable conducting code reviews giving feedback ensure high standards code maintainability extensibility strong interpersonal communication skill application deadline expected start date job type full time salary per year schedule morning shift experience software development year preferred total work year preferred jsp year preferred education bachelor preferred licence java programmer preferred work remotely yes occasionally speak employer,Java Developer
2097,altruista health seeking right candidate join dynamic growing technology company healthcare domain network administrator position summary network administrator maintains adjusts network needed ensuring maximum uptime monitoring auditing reviewing network performance security role responsibilities manage implementation strategy organization perform maintenance administration computer networks related computing environments including computer networking hardware software applications related configurations perform configuration backups testing backup restoration participate disaster recovery testing scenario planning ability perform needed event failure requiring restoration services oversee diagnosing troubleshooting resolving hardware software network system problems replace defective components necessary tier responsible planning coordinating implementing network security measures protect data software hardware secure network developing network access monitoring control evaluation maintaining documentation manage network performance identify areas opportunity efficiency growth perform duties assigned fully applies basic principles theories concepts job assignments exhibits technical operational proficiency solving problems moderate complexity contributes completion projects programs area expertise may interface internal external customers provide guidance entry level developers supervisory responsibilities network administrator supervisory role qualifications perform job successfully individual must able perform essential duty satisfactorily requirements listed representative knowledge skill ability required reasonable accommodations may made enable individuals disabilities perform essential functions education experience bachelor degree computer science related field master degree preferred years related work experience proven experience network administrator role information technology experience working lan wan routing switching load balancing network support experience vpn connectivity enterprise organization site site remote client access competencies sense ownership responsibility towards problems solutions advanced problem solving skills identify resolve complex issues timely manner hands experience networking routing switching familiarity backup recovery software methodologies experience healthcare industry preferred working knowledge tcp ipsec syslog http ssh scp dhcp dns rdp ldap smtp protocols must experience source destination nat also must working knowledge wireless vrrp netflow virtual ios concepts bgp ospf plus ability work independently self directed ability manage cisco networking devices ios knowledge adequate knowledge visio word excel equivalent tools ability participate call rotation may include hours work understanding network snmp monitoring use configuration auditing back tools working knowledge command line driven configurations required attention detail physical demands physical demands described representative must met employee successfully perform essential functions job tasks involve physical effort standing walking frequent light lifting minimal dexterity use fingers limbs body operation office equipment tasks may involve extended periods time keyboard extended periods sitting workstation desk tasks require sound perception discrimination visual perception discrimination oral communications ability job may require occasional international travel work environment work environment characteristics described representative employee encounters performing essential functions job tasks generally performed typical office environment location travel altruista health located hyderabad,Network Administrator
1451,corporate title senior associate function role senior software engineer ready explore world possibilities join dtcc family grow expertise become best version embark new journey tackle challenges flexibility grace learning new skills advancing career time life would love job member sifmu team means part technology team rich diverse skill sets great enthusiastic committed team whether java spring suite javascript angularjs unix database skillset required project initiatives collaborating helping achieve common goal embarking incredible multi year transformation journey looking best breed software engineers join journey role would responsible contribute towards new project implementations related building modern data platform backbone systems applications dtcc also significant opportunity advancement growth role based performance contribution towards organization goals responsibilities years experience software development architecture bachelor degree preferred masters equivalent experience expertise application data infrastructure architecture disciplines knowledge industry wide technology trends best practices advanced knowledge software architecture design development principles practices experience building messaging event driven cloud native application architectures strong understanding domain driven design micro services architecture participate requirements gathering product owners business users subject matter experts come elegant solution design adhering best design patterns write clean self documenting code following best practices coding incorporating unit testing collaborate senior application architects technical contributors levels application development resolve application defects identified system integration user acceptance testing phases participate code reviews sprint meetings retrospectives provide going maintenance support applications post deployment support phase depth understanding aspects java platform spring family frameworks expertise working large collaborative teams achieve organizational goals passionate building innovative culture self starter providing creative innovative ideas solutions continuously improving technological offering note responsibilities role limited details talents needed success hands experience application development extensive experience java core spring boot spring mvc spring cloud angular equivalent scm devops tools process git bitbucket maven ant jenkins sonar web technologies javascript html css json rest soap testing tools frameworks jasmin karma junit selenium cucumber mockito agile methodology tools jira experience microservices layered soa mvc architecture experience integration patterns messaging technologies solace kafka rabbitmq experience caching solutions redis gemfire ehcache experience cloud deployments private cloud aws azure experience cloud platforms container orchestration docker kubernetes cloud foundry years experience dtcc premier post trade market infrastructure global financial services industry operating facilities data centers offices countries dtcc subsidiaries automates centralizes standardizes processing financial transactions mitigating risk increasing transparency driving efficiency thousands broker dealers custodian banks asset managers industry owned governed firm simplifies complexities clearing settlement asset servicing data management data reporting information services across asset classes bringing increased security soundness financial markets dtcc subsidiaries processed securities transactions valued quadrillion depository provides custody asset servicing securities issues countries territories valued trillion dtcc global trade repository service locally registered licensed approved trade repositories processes billion messages annually learn please visit www dtcc com connect linkedin twitter youtube facebook,Software Engineer
248,location gurugrampositionwordpress developerjob summary key objectivesdesigning building website front end creating website architecture designing managing website back end including database server integration generating wordpress themes plugins conducting website performance tests troubleshooting content issues conducting wordpress training client monitoring performance live websiterequirementsbachelor degree computer science similar field proven work experience wordpress developer knowledge front end technologies including css javascript html jquery knowledge code versioning tools including git mercurial svn experience working debugging tools chrome inspector firebug good understanding website architecture aesthetics good communication skills required experience years,Wordpress Developer
